"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Pérez, Oliver","424144","2020","72",19.4,8.3,".244",".274",28.6,4.1,26.5,"76.5255148","93.007412041",19.2,44.5
"Wainwright, Adam","425794","2020","262",20.6,5.7,".277",".324",33,6.3,36.6,"75.684768404","93.58274617",24.1,46
"Greinke, Zack","425844","2020","273",24.5,3.3,".293",".299",34.7,8.2,35.2,"74.93030732","93.291148144",27.7,40.8
"Hamels, Cole","430935","2020","14",14.3,7.1,".290",".380",45.5,18.2,45.5,"79.559608333","94.026914545",26.9,50
"Petit, Yusmeiro","433589","2020","88",19.3,5.7,".276",".327",25.8,10.6,33.3,"76.708489355","93.39606371",26.1,52.4
"Verlander, Justin","434378","2020","21",33.3,4.8,".264",".259",7.7,15.4,53.8,"79.884681429","95.846428462",25,49.3
"Sánchez, Aníbal","434671","2020","245",17.6,7.3,".383",".354",37.6,9.4,37.6,"78.450162111","93.882949553",23.4,47.6
"Rondón, Héctor","444468","2020","97",23.7,11.3,".412",".355",43.5,14.5,43.5,"81.678274516","95.339050968",19.1,46.9
"Kintzler, Brandon","445213","2020","101",13.9,10.9,".298",".325",31.6,6.6,34.2,"75.390523158","93.041676667",15.2,44
"Jansen, Kenley","445276","2020","102",32.4,8.8,".279",".266",33.3,3.5,14,"73.703218148","90.543838148",30.6,52.7
"Chavez, Jesse","445926","2020","77",16.9,9.1,".402",".393",37.5,14.3,33.9,"75.045191429","93.724139273",15.4,40.3
"Detwiler, Ross","446321","2020","81",18.5,6.2,".299",".294",25,3.3,46.7,"76.18333","94.728199167",27.7,49.8
"Hill, Rich","448179","2020","156",19.9,10.9,".272",".342",34.6,9.3,29.9,"75.632346226","93.039661887",15.9,42.6
"Doolittle, Sean","448281","2020","36",16.7,11.1,".394",".441",57.7,15.4,34.6,"80.691309231","93.8475912",18.4,59.8
"Guerra, Junior","448855","2020","103",20.4,14.6,".287",".321",29.2,4.6,27.7,"74.899991613","93.286901967",26.8,48
"Volquez, Edinson","450172","2020","26",11.5,7.7,".299",".380",40,5,25,"69.776897","91.7496505",27.9,39.8
"Morton, Charlie","450203","2020","170",24.7,5.9,".330",".305",36,7.9,35.1,"79.481740357","93.904053839",24.9,51.8
"Davis, Wade","451584","2020","25",12,12,".569",".478",47.4,21.1,42.1,"71.832146","94.715166316",19.6,42.9
"Lester, Jon","452657","2020","265",15.8,6.4,".333",".363",34,12.3,38.9,"77.820627228","94.226303762",18.1,44.3
"Hughes, Jared","453172","2020","109",19.3,12.8,".353",".328",20.3,7.2,33.3,"71.371848571","93.116009565",32.1,45.4
"Kennedy, Ian","453178","2020","69",21.7,7.2,".441",".377",27.1,14.6,45.8,"82.869103478","95.737984783",21.3,52.1
"Miller, Andrew","453192","2020","55",29.1,9.1,".254",".220",16.1,0,19.4,"78.760743125","91.455464516",31,42.4
"Watson, Tony","453265","2020","73",20.5,4.1,".246",".303",31.5,9.3,29.6,"73.299098889","92.479711887",27,48.9
"Bard, Daniel","453268","2020","106",25.5,9.4,".296",".306",31.8,7.6,47,"80.218296061","94.382261692",28.6,48.5
"LeBlanc, Wade","453281","2020","103",12.6,7.8,".370",".323",38.3,3.7,29.6,"75.2972645","92.5179055",24.6,45.5
"Parker, Blake","453284","2020","69",36.2,13,".285",".262",37.1,5.7,37.1,"77.441057778","93.820054",29.2,43.5
"Scherzer, Max","453286","2020","295",31.2,7.8,".319",".321",41.9,8.4,36.3,"77.195484023","94.048872832",32.4,50.5
"Melancon, Mark","453343","2020","95",14.7,7.4,".276",".287",26.4,4.2,34.7,"79.687082857","93.257845942",19.1,47.1
